ID,Flag_Cliente,Edad,Genero,Flag_Upgrade,MOB,DiasMora_201501,DiasMora_201502,DiasMora_201503,DiasMora_201504,DiasMora_201505,DiasMora_201506,NroPagosMensuales_u6m,FlagRefRCC_u12m,ClasRCC_u12m,NroEntRCC_TC,DeudaTC,LineaTC,NroTransacciones_PagaLaMitad_u12m,NroTransacciones_DispEfectivo_u12m,SaldoTotal_maximo_u12m
5687,0,55,0,0,41.3,5,36,5,0,6,5,1,1,2,5,595.08,600,0,0,631.17
5693,0,45,0,0,41.3,36,6,5,6,6,5,2,0,3,5,310.35,400,0,0,419.92
5797,0,27,1,0,41.3,0,0,5,6,0,0,3,1,0,2,307.69,1750,0,0,621.1
5814,1,51,1,0,41.3,5,6,5,6,0,0,4,1,0,1,573.74,1000,0,0,737
6231,1,45,0,0,41.3,0,0,0,0,0,0,5,1,0,1,868.65,1600,1,3,1457.13
6376,0,28,0,0,41.2666666666667,0,0,0,0,0,0,3,1,1,1,716.89,1000,1,4,1050.56
6436,1,41,1,1,41.2666666666667,0,0,0,0,0,0,4,1,0,1,1907.1,3550,0,0,3073.19
6608,1,35,0,1,41.2666666666667,36,0,0,0,0,0,1,1,0,5,398.6,1000,1,0,990.25
6759,0,55,1,0,41.2333333333333,5,6,0,6,0,5,2,1,0,5,331.92,300,0,0,331.92
6780,0,35,0,0,26.1666666666667,0,0,0,0,0,0,6,1,4,1,642.19,810,0,3,775.16
6917,1,58,1,1,41.2333333333333,0,1,0,1,1,0,6,1,0,1,43.36,1000,0,1,358.94
7162,0,30,1,0,41.2333333333333,5,6,5,0,0,0,2,1,0,4,348.6,1800,0,0,1589.92
7191,0,29,1,0,41.2,0,0,0,0,0,0,2,1,1,1,552.34,1200,0,9,552.34
7229,0,52,1,0,41.2,5,6,5,36,6,5,0,1,4,5,411.85,400,0,0,549.84
7249,0,34,0,0,41.2,5,36,0,6,37,5,3,1,1,5,116.88,500,0,0,485.89
7372,1,27,0,0,41.2,0,0,0,0,0,0,6,1,0,1,2099.87,2850,0,0,3779.55
7667,1,34,0,1,41.2,36,6,36,0,0,5,1,1,0,4,504.32,550,3,0,553.97
7929,1,31,1,0,41.2,0,0,0,0,6,5,4,1,0,1,1238.61,1200,1,3,1411.92
7951,0,33,0,1,41.2,5,0,0,0,0,5,2,1,0,3,392.92,350,0,1,392.92
8264,0,48,1,0,41.1666666666667,0,0,0,0,6,36,4,1,2,1,76.11,500,0,0,76.11
8272,0,67,0,1,41.1666666666667,5,6,36,36,37,36,1,1,0,5,475.59,1200,0,1,968.52
8280,0,70,1,1,41.1666666666667,0,0,0,0,6,5,1,1,0,4,269.32,300,2,0,332.26
8335,1,24,1,0,20.8,0,0,0,0,0,5,5,1,0,1,229.12,800,0,0,229.12
8565,1,44,0,0,41.1333333333333,0,1,0,0,0,0,4,1,0,1,790.75,900,0,3,1015.76
8582,0,32,0,0,41.1333333333333,0,0,0,0,0,0,5,1,0,1,2084.81,2500,2,5,2084.81
8618,1,36,0,0,41.1333333333333,0,1,0,0,0,0,5,1,0,1,74.89,10340,0,0,5841.97
8836,0,26,0,0,41.1333333333333,0,1,0,1,0,0,5,1,0,1,752.09,900,0,15,940.92
8843,0,24,0,0,41.1333333333333,61,1,0,1,1,0,1,1,0,3,356.92,300,0,0,434.73
8991,0,24,0,0,41.1333333333333,0,0,0,0,1,0,3,1,2,2,638,900,0,7,1299.58
9021,0,27,0,0,41.1333333333333,0,1,0,1,32,0,2,0,1,4,788.92,900,0,0,1051.16
9085,0,37,1,0,41.1333333333333,31,1,31,62,1,31,1,1,0,5,76.82,400,0,1,377.68
9150,0,34,0,0,41.1333333333333,5,36,66,0,6,5,0,0,1,5,712.89,700,0,0,728.52
9184,0,62,0,1,41.1333333333333,0,1,0,1,1,0,3,1,0,2,918.39,1200,5,4,918.39
9193,0,25,1,0,41.1333333333333,0,1,0,1,1,31,3,1,2,3,505.26,600,1,0,648.83
9387,0,27,1,0,41.1,0,1,0,1,1,31,4,1,4,1,789.69,600,5,3,789.69
9489,0,41,0,1,41.1,31,0,0,1,32,31,2,1,5,5,780.75,1150,0,0,1083.6
9519,0,27,0,0,41.1,61,0,0,1,1,31,0,0,2,4,596.9,500,2,0,599.41
9580,0,23,0,0,41.1,0,31,0,0,1,0,2,1,0,5,135.6,300,0,0,218.22
9634,1,32,1,0,41.1,0,0,0,0,0,0,4,1,0,1,657.08,800,0,0,819.33
9655,0,28,1,0,41.1,0,0,0,31,1,0,3,1,0,3,446.01,3000,0,0,758.32
9715,0,33,0,0,41.1,0,0,0,1,1,0,1,1,0,3,845.89,800,3,0,902.79
9788,0,52,0,0,41.1,0,1,0,0,0,0,4,1,4,1,157.5,900,0,0,519.94
9857,0,47,1,0,41.1,0,1,0,1,1,31,3,1,0,3,424.02,700,1,4,685.78
9914,0,27,1,0,41.1,0,1,0,0,1,0,2,1,0,4,379.92,500,0,0,475.06
10117,0,33,0,0,41.0666666666667,0,1,0,31,1,31,1,1,0,5,585.68,800,0,0,809.89
10235,0,24,1,0,41.0666666666667,0,1,0,0,1,0,4,0,2,1,738.85,800,5,3,792.96
10288,1,36,0,0,41.0666666666667,0,1,0,1,1,0,4,1,0,2,847.87,1480,4,3,1523.15
10517,0,33,0,0,41.0666666666667,0,0,0,1,1,0,4,1,5,1,1119.36,3000,0,1,1471.17
10532,1,65,0,0,41.0666666666667,0,1,0,1,1,0,2,1,0,5,81,500,0,0,498.99
10648,0,25,0,0,41.0333333333333,0,0,0,0,0,15,2,1,1,2,1133.65,1000,0,1,1156.05
11011,1,28,1,0,27.3666666666667,0,0,0,0,0,0,5,1,0,1,1206.72,1900,1,3,1270.8
11029,0,31,1,0,41,0,0,0,0,0,0,1,1,0,4,463.06,500,0,0,463.06
11040,0,33,0,0,41,0,1,31,0,1,0,1,0,1,5,146.45,600,2,0,532.46
11054,0,34,0,0,41,0,31,31,1,1,0,1,1,0,5,309.81,300,0,0,375.62
11123,1,34,1,0,41,0,0,0,1,1,0,4,1,0,1,308.75,600,0,7,481.2
11149,0,44,1,0,41,31,31,0,0,1,0,1,1,0,5,195.29,600,0,0,492.31
11259,1,34,1,0,41,0,1,0,1,1,0,5,1,0,1,2854.39,3860,0,0,3471.03
11281,0,30,1,0,41,0,0,0,1,1,31,1,1,2,5,702.3,600,0,0,728.93
11319,1,41,0,0,41,0,1,0,0,1,0,4,1,0,1,616.96,500,7,2,616.96
11632,0,28,1,0,40.9666666666667,0,26,0,0,0,0,3,1,0,4,247.63,400,0,0,468.21
11639,1,28,1,0,40.9666666666667,0,0,0,0,0,0,5,1,0,1,239.58,400,0,0,418.9
12056,0,41,0,0,40.9666666666667,0,26,25,26,0,25,2,1,1,5,1015.58,1000,0,0,1015.58
12194,0,30,0,1,40.9333333333333,0,0,0,1,1,31,2,1,3,5,511.49,800,0,0,1105.13
12294,0,30,1,0,40.9333333333333,25,0,0,0,0,0,1,1,0,5,278.22,300,0,0,291.05
12393,0,50,1,0,40.9333333333333,0,0,0,0,0,25,4,1,0,1,560.42,600,0,0,609.75
12492,1,57,0,0,40.9333333333333,0,0,0,0,0,0,2,1,0,5,371.71,1260,0,1,615.95
12508,1,41,1,1,40.9333333333333,0,0,0,0,0,0,2,1,4,4,934.95,900,2,0,934.95
12739,1,31,1,0,40.9333333333333,0,0,0,0,0,0,5,1,0,1,1371.99,1400,1,16,1371.99
12767,0,31,1,0,40.9333333333333,0,0,0,0,26,0,2,1,0,3,391.08,1000,0,4,643
12964,0,42,0,0,20.8,5,36,66,0,6,36,1,1,3,5,62.75,1000,0,4,818.3
13034,0,47,1,0,40.9,5,6,36,6,0,5,1,1,2,5,343.76,500,0,0,481.49
13048,1,47,1,0,40.9,0,0,0,0,0,0,4,1,0,1,218.4,3300,0,0,218.4
13373,1,35,1,0,40.9,0,0,0,0,0,0,2,1,0,1,1063.6,1000,0,0,1063.6
13385,1,56,0,1,40.9,5,0,0,0,0,0,5,1,0,1,4969.31,13930,0,0,5160.77
13901,0,34,1,0,40.8666666666667,0,0,0,0,26,56,1,1,3,5,107.9,400,0,0,317.12
13943,1,32,1,0,40.8666666666667,0,0,0,0,0,0,4,1,0,1,936.56,1080,2,2,1214.93
14044,0,32,0,0,40.8666666666667,0,26,0,0,26,56,2,1,2,5,400.79,600,0,0,400.79
14172,0,26,0,0,27.3333333333333,0,0,0,16,0,0,3,1,3,2,858.03,1530,8,10,1596.19
14460,0,27,1,0,40.8333333333333,0,26,25,0,26,0,2,1,2,5,687.57,700,1,1,754.55
14681,0,46,0,1,40.8,0,0,0,0,0,15,4,1,1,1,156.06,750,0,0,170.95
14770,1,49,1,0,40.7666666666667,0,0,0,0,0,0,5,1,0,1,784.63,3900,0,0,2889.94
14986,1,36,1,1,40.7666666666667,0,0,0,0,0,0,3,1,1,3,879.54,1080,1,0,1037.05
15007,0,30,0,1,40.7666666666667,0,0,0,21,52,20,1,1,3,5,263.22,600,2,0,630.93
15043,1,28,1,0,40.7666666666667,0,0,0,0,0,0,6,1,0,1,99.86,3000,0,0,366.39
15075,0,37,0,0,40.7666666666667,0,0,0,1,1,0,1,1,0,2,102.67,400,0,0,329.67
15149,1,42,1,1,40.7666666666667,0,0,0,0,0,0,4,1,0,1,118.61,4500,0,0,750.29
15627,1,27,1,0,40.7333333333333,0,0,0,0,0,0,6,1,0,1,288.32,1750,0,3,880.85
15642,0,62,0,0,40.7333333333333,0,0,20,21,0,0,2,1,0,5,325.01,500,0,0,494.77
15674,1,41,0,0,40.7333333333333,20,51,0,21,0,20,4,1,1,4,314.33,2000,0,0,644.32
15730,1,27,1,0,27.3333333333333,0,0,0,0,0,0,5,1,0,1,1205.13,1200,8,1,1566.28
15774,0,25,1,1,40.7333333333333,20,21,20,51,0,20,2,1,1,5,53.98,300,0,0,251.1
15806,1,47,0,0,26.1666666666667,0,1,0,0,0,0,5,1,0,1,406.28,1080,0,0,1108.21
15810,0,35,0,1,26.1666666666667,0,1,0,0,1,31,3,1,0,2,551.33,500,7,0,551.33
16006,0,28,1,0,40.7,20,0,0,0,0,0,4,1,0,2,845.5,850,4,2,1582.81
16019,1,36,0,0,40.7,0,0,0,21,21,20,2,1,1,5,707.22,1830,0,0,2388.16
16093,1,32,1,0,40.7,0,0,0,0,0,20,4,1,1,1,493.18,1000,0,10,1150.2
16202,0,28,0,0,27.3333333333333,0,16,0,16,0,0,2,1,0,4,418.26,540,0,2,589.59
16350,1,28,1,0,40.6666666666667,0,0,0,0,0,0,6,1,0,1,801.81,800,9,1,834.05
16383,1,51,1,0,40.6666666666667,0,0,0,0,0,0,2,1,0,3,234,1000,1,0,728.45
16746,0,38,0,0,40.6666666666667,31,31,61,1,1,0,1,1,0,5,188.24,300,1,0,334.11
16950,0,30,1,0,40.6333333333333,46,16,46,0,0,15,1,1,0,5,418.82,300,0,0,418.82
17185,0,58,1,1,40.6333333333333,0,0,10,41,42,0,2,1,0,4,970.14,2200,3,12,2243.67
17243,0,37,0,0,40.6333333333333,0,0,20,21,52,51,1,1,2,5,256.09,1000,0,2,480.31
17268,1,67,1,1,40.6333333333333,0,0,0,0,0,0,3,1,0,2,134.46,1000,0,0,617.48
17590,0,42,1,0,40.6,0,0,0,1,1,0,5,1,1,1,1332.38,1300,5,10,1332.38
17602,0,34,0,0,40.6,0,1,0,0,1,0,2,1,0,2,551.41,600,0,1,694.41
17613,1,53,0,0,40.6,0,0,0,0,0,0,6,1,0,1,553.55,5000,0,1,553.55
17644,1,40,0,0,40.6,0,0,0,0,0,0,5,1,0,1,2493.18,1750,0,0,3888.93
17718,0,41,0,0,27.3333333333333,0,0,0,0,0,25,2,1,0,4,321.23,300,2,0,342.72
17956,0,28,0,0,40.5333333333333,0,16,0,0,0,0,1,1,4,3,778.07,720,2,0,974.34
18038,1,64,1,1,40.5333333333333,0,0,0,0,0,15,4,1,1,1,3629.65,7500,0,0,3629.65
18075,0,27,0,0,40.5333333333333,31,1,0,31,62,0,1,1,2,5,413.09,400,0,0,513.52
18103,0,32,0,0,40.5333333333333,0,0,0,16,47,46,1,1,0,5,848.99,800,0,0,947.14
18126,1,62,1,0,40.5333333333333,0,0,0,0,0,0,4,1,0,1,3566.29,6150,0,0,4907.22
18212,1,46,1,0,40.5333333333333,10,11,10,0,11,10,2,1,0,5,224.29,800,0,0,361.71
18452,1,36,1,0,40.5,0,0,0,0,0,0,5,1,0,1,1130.91,2600,0,0,1130.91
18735,0,25,0,0,40.5,0,0,0,16,0,15,4,1,0,2,563.72,500,0,1,563.72
18793,0,36,1,0,40.5,15,16,15,0,0,15,1,1,1,5,1673.94,1600,1,1,2349.92
18999,1,37,1,1,40.5,0,0,0,0,0,0,5,1,0,1,226.72,750,0,0,302.93
19009,0,35,0,1,40.5,74,0,0,0,16,46,1,1,2,5,592.49,600,1,2,618.07
19127,0,42,1,0,40.4666666666667,0,1,0,1,1,0,2,1,0,5,360.02,400,5,1,417.58
19296,0,41,0,1,40.4666666666667,15,0,15,0,0,0,1,0,4,5,1368.39,1275,0,0,1368.39
19371,1,54,0,1,40.4666666666667,0,0,0,0,0,0,6,1,0,1,1080.95,1400,5,7,1445.93
19581,0,27,1,0,40.4666666666667,46,0,0,0,16,15,1,1,1,5,128.84,500,0,0,464.33
19584,0,33,1,1,40.4666666666667,0,0,0,0,16,15,2,1,0,3,365.46,400,1,0,433.31
19656,0,33,1,0,20.7666666666667,0,1,0,1,32,0,2,1,0,4,178.23,600,0,1,371.16
19749,0,27,0,0,40.4333333333333,10,11,0,0,0,0,1,1,4,5,168.02,700,1,1,1182.37
19957,0,28,0,0,40.4333333333333,0,1,0,0,0,0,2,0,1,3,501.93,800,2,0,921.99
20010,0,36,0,0,40.4333333333333,0,0,0,1,1,31,4,1,0,1,510.49,1800,1,1,920.05
20228,1,30,1,0,40.4,10,11,0,0,0,10,3,1,1,4,195.66,500,0,0,484.42
20447,0,51,1,1,40.4,10,11,0,0,0,10,1,1,1,5,583.42,600,0,0,648.23
20480,1,57,0,1,40.4,0,0,0,0,0,0,5,1,0,1,1001.6,3600,0,0,1189.66
20487,1,51,0,0,40.4,0,1,0,1,1,0,2,1,0,4,1753.68,2000,0,0,1906.02
20575,0,39,1,0,40.4,41,41,0,0,0,10,1,1,0,5,422.04,500,0,0,522.78
20598,0,30,1,1,40.4,10,11,0,0,11,0,2,1,0,4,469.26,600,0,0,586.81
20782,1,34,1,0,40.3666666666667,0,0,0,0,0,0,6,1,0,1,1412.54,1200,3,3,1412.54
21110,1,35,0,0,40.3333333333333,0,0,0,0,0,0,4,1,0,1,56.53,600,0,0,330.63
21136,1,53,0,1,40.3333333333333,0,0,0,0,0,0,5,1,0,1,49.04,11500,0,0,840.19
21161,0,28,1,0,40.3333333333333,10,11,0,11,11,0,2,1,0,5,397.8,600,0,0,598.83
21169,0,63,1,1,40.3333333333333,10,11,10,0,11,10,2,1,1,5,408.86,400,0,0,446.41
21332,0,53,0,1,40.3333333333333,5,0,0,6,6,36,2,1,0,4,773.56,800,2,0,773.56
21401,0,33,0,0,40.3,10,41,71,0,11,10,0,1,2,5,67.24,400,0,0,457.79
21666,1,47,1,1,27.3333333333333,0,1,0,1,1,0,2,1,0,4,357.8,550,2,0,624.01
21697,1,46,1,1,40.3,0,0,0,0,0,0,5,1,0,1,103.11,4600,0,1,1348
21839,0,34,1,0,40.2666666666667,5,6,36,36,6,36,1,1,3,5,98.56,500,0,2,337.12
21885,0,31,1,0,40.2666666666667,0,6,5,6,6,0,4,1,0,1,521.81,500,9,0,607.11
21943,1,27,0,0,40.2666666666667,5,6,5,6,6,0,2,1,0,5,1116.49,2700,0,4,2124.96
22011,1,25,0,0,40.2666666666667,5,6,5,6,0,0,2,1,0,4,913.67,1400,1,0,1114.22
22092,1,58,1,1,40.2666666666667,0,0,5,6,0,5,2,1,0,3,245.14,500,0,0,477.96
22130,0,42,1,0,40.2666666666667,5,6,5,0,0,5,2,1,0,4,400.44,400,1,0,400.44
22415,0,29,1,0,40.2333333333333,5,36,66,36,0,0,1,1,2,5,400.91,450,2,0,497.89
22461,0,31,0,1,40.2333333333333,5,6,36,6,37,5,1,1,4,5,294.33,500,0,0,576.47
22498,0,24,0,0,40.2333333333333,0,6,36,0,6,36,3,1,2,3,252.25,300,0,0,265.79
22503,0,40,1,0,40.2333333333333,0,0,0,0,6,36,2,1,2,3,131.58,400,0,0,131.58
22590,1,59,1,0,40.2333333333333,0,0,0,0,0,0,4,1,2,1,1449.14,1680,3,2,2075.27
22625,0,26,1,0,40.2333333333333,0,0,0,0,26,56,2,1,0,5,420.83,600,0,0,606.91
22783,0,35,0,0,40.2333333333333,0,0,0,6,6,36,4,1,2,1,392.97,1350,1,0,691.08
22882,1,35,1,0,40.2333333333333,0,0,0,0,0,0,6,1,0,1,103.48,4200,0,0,139.19
22899,1,52,0,0,40.2333333333333,5,6,0,0,6,5,4,1,0,2,251.67,400,3,0,417.16
23023,0,26,1,0,40.2333333333333,36,67,36,36,67,36,0,1,3,5,97.85,300,0,0,363.25
23130,1,32,0,0,40.2,0,6,0,0,6,0,2,1,0,3,731.88,720,0,0,765.55
23332,0,25,0,0,40.2,36,6,36,6,6,36,1,1,3,5,1589.81,1500,0,0,1589.81
23410,0,34,1,0,40.2,5,0,5,36,6,36,1,1,1,5,362.87,500,0,1,573.06
23425,0,49,0,0,40.2,36,36,0,0,0,0,1,1,0,5,753.83,750,1,0,828.04
23431,1,45,0,1,40.2,0,0,0,0,0,5,5,1,0,1,898.42,1500,3,11,1680.75
23491,0,26,1,1,40.2,0,26,0,0,0,0,1,1,0,3,298.55,300,2,0,336.45
23495,0,58,1,1,40.2,36,6,5,6,6,5,1,1,0,5,389.39,700,0,0,740.15
23651,0,39,0,0,40.2,5,0,5,0,6,36,2,1,0,5,854.79,700,0,0,854.79
23652,0,35,1,0,40.2,5,0,0,6,6,36,2,1,0,4,349.83,300,0,0,384.97
23851,1,28,0,0,40.1666666666667,0,1,31,1,1,0,3,1,2,2,597.49,600,1,0,636.82
24038,0,47,0,0,27.3333333333333,0,0,0,0,0,15,4,1,0,2,967,1050,10,0,1360.46
24275,1,37,1,0,40.1666666666667,0,0,5,6,0,0,3,1,0,2,79.59,1050,1,0,1360.6
24385,0,29,0,0,40.1666666666667,0,31,0,1,1,31,2,0,2,4,5203.99,2700,4,2,6374.28
24392,1,27,0,0,40.1666666666667,5,0,0,6,37,5,2,1,4,4,980.73,1000,0,0,1084.85
24399,1,33,0,1,40.1666666666667,0,0,0,1,0,0,4,1,1,1,3489.92,4190,3,14,3489.92
24416,0,28,1,1,27.3333333333333,0,16,15,16,16,46,2,1,1,5,312.37,400,1,0,435.04
24438,1,28,0,0,40.1333333333333,0,6,5,6,0,0,3,1,0,2,60.02,800,7,3,796.59
24543,0,30,1,1,40.1333333333333,0,6,5,6,0,5,4,1,0,1,3494.86,3100,0,0,3494.86
24669,0,23,0,0,27.3333333333333,0,0,0,0,0,0,4,1,3,1,708.59,720,3,7,816.76
24798,1,58,0,1,40.1,0,0,0,1,0,0,5,1,0,1,2494.3,1500,0,0,3386.24
24877,1,63,0,1,40.1,0,0,0,0,0,0,4,1,0,1,3653.52,3950,2,18,3711.72
24881,0,27,0,0,40.1,0,1,0,1,1,0,2,1,0,5,418.3,700,0,0,750.29
24935,1,25,1,0,40.1,0,1,0,0,1,0,3,1,0,2,489.71,400,1,1,1048.57
25051,0,45,0,1,40.0666666666667,25,0,25,56,26,56,1,1,2,5,215.83,1000,0,0,993.43
25069,0,68,1,0,40.0666666666667,0,1,31,1,1,31,2,1,2,5,649.54,600,0,1,649.54
25093,1,53,0,0,40.0666666666667,0,1,0,1,32,31,2,1,2,4,532.32,600,10,3,603.6
25112,0,43,0,1,40.0666666666667,0,1,31,31,1,31,1,0,3,5,665.05,720,0,0,720.64
25144,0,27,0,0,40.0666666666667,0,1,0,1,32,31,2,0,4,5,602.09,750,0,0,790.27
25282,1,26,0,0,20.7666666666667,0,1,0,1,1,0,3,1,0,3,30.55,400,0,0,344.44
25317,1,44,1,0,40.0666666666667,0,1,0,0,1,0,5,1,0,1,2339.45,3240,0,1,3131.38
25348,0,32,0,0,40.0666666666667,0,1,0,0,0,0,5,1,3,1,2226.1,2150,9,3,2807.38
25389,1,26,0,1,40.0333333333333,0,1,0,1,1,0,5,1,0,1,1049.48,1400,0,1,1049.48
25540,0,30,0,0,40.0333333333333,0,0,0,31,1,0,3,1,0,3,195.26,400,3,0,467.19
25578,1,41,0,0,40.0333333333333,0,0,0,0,0,0,4,1,0,1,755.74,700,4,9,755.74
25755,1,32,0,0,40.0333333333333,0,1,0,1,1,0,2,1,0,3,3013.54,3250,0,0,3937.01
25822,0,50,1,0,40.0333333333333,0,1,0,1,0,0,2,1,0,5,681.08,2100,0,1,1903.28
25880,0,47,0,0,40.0333333333333,0,1,0,0,1,0,2,1,3,2,1128.59,1050,6,0,1196.56
26045,0,28,1,0,40,0,1,0,1,1,0,2,0,1,4,413.87,500,0,0,520.24
